study	sample	experiment	run	ftp
SRP028804	SRS618155	SRX550413	SRR1295942	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295942/SRR1295942.sra
SRP028804	SRS469393	SRX334139	SRR950979	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950979/SRR950979.sra
SRP028804	SRS469390	SRX334136	SRR950976	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950976/SRR950976.sra
SRP028804	SRS469414	SRX334160	SRR951002	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951002/SRR951002.sra
SRP028804	SRS469419	SRX334165	SRR951007	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951007/SRR951007.sra
SRP028804	SRS469396	SRX334142	SRR950982	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950982/SRR950982.sra
SRP028804	SRS469391	SRX334137	SRR950977	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950977/SRR950977.sra
SRP028804	SRS469398	SRX334144	SRR950984	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950984/SRR950984.sra
SRP028804	SRS469395	SRX334141	SRR950981	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950981/SRR950981.sra
SRP028804	SRS469388	SRX334134	SRR951000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951000/SRR951000.sra
SRP028804	SRS469410	SRX334156	SRR950996	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950996/SRR950996.sra
